symbol,market,scan_ts,total_score,early_score,confidence,price,change_pct,feat1,feat2,feat3,feat4,outcome_pct,outcome_label,labeled_ts
BTCUSDT,crypto,1762214400,52.94,30.0,0.662,101450.3,-4.781,0.0,2.054,1.0,0.0,3.174,1,1779002485
BTCUSDT,crypto,1762300800,58.8,25.8,0.735,103837.0,2.353,0.0,1.16,1.0,0.0,2.051,0,1779002485
BTCUSDT,crypto,1762387200,47.74,25.06,0.597,101305.6,-2.438,0.0,1.012,1.0,0.0,1.678,0,1779002485
BTCUSDT,crypto,1762473600,58.29,25.92,0.729,103305.2,1.974,0.0,1.184,1.0,0.0,-1.645,0,1779002485
BTCUSDT,crypto,1762560000,45.43,22.47,0.568,102269.3,-1.003,0.0,0.493,1.0,0.0,-2.557,0,1779002485
BTCUSDT,crypto,1762646400,53.74,23.27,0.672,104670.6,2.348,0.0,0.655,1.0,0.0,-9.674,-1,1779002485
BTCUSDT,crypto,1762732800,53.65,24.34,0.671,105966.3,1.238,0.0,0.868,1.0,0.0,-9.82,-1,1779002485
BTCUSDT,crypto,1762819200,46.9,25.0,0.586,103005.8,-2.794,0.0,0.999,1.0,0.0,-8.528,-1,1779002485
BTCUSDT,crypto,1762905600,50.59,25.41,0.632,101605.8,-1.359,0.0,1.081,1.0,0.0,-9.287,-1,1779002485
BTCUSDT,crypto,1762992000,56.7,29.02,0.709,99654.3,-1.921,0.0,1.804,1.0,0.0,-6.761,-1,1779002485
BTCUSDT,crypto,1763078400,52.25,30.0,0.653,94544.9,-5.127,0.0,2.093,1.0,0.0,-3.211,-1,1779002485
BTCUSDT,crypto,1763164800,50.69,23.02,0.634,95560.3,1.074,0.0,0.605,1.0,0.0,-9.375,-1,1779002485
BTCUSDT,crypto,1763251200,48.82,24.56,0.61,94221.7,-1.401,0.0,0.912,1.0,0.0,-9.688,-1,1779002485
BTCUSDT,crypto,1763337600,51.85,26.85,0.648,92169.7,-2.178,0.0,1.37,1.0,0.0,-8.116,-1,1779002485
BTCUSDT,crypto,1763424000,59.29,27.58,0.741,92916.9,0.811,0.0,1.517,1.0,0.0,-6.575,-1,1779002485
BTCUSDT,crypto,1763510400,53.91,27.22,0.674,91508.9,-1.515,0.0,1.444,1.0,0.0,-3.564,-1,1779002485
BTCUSDT,crypto,1763596800,49.29,28.76,0.616,86601.3,-5.363,0.0,1.751,1.0,0.0,0.835,0,1779002485
BTCUSDT,crypto,1763683200,59.02,30.0,0.738,85093.5,-1.741,0.0,2.741,1.0,0.0,6.281,1,1779002485
BTCUSDT,crypto,1763769600,46.66,22.55,0.583,84689.4,-0.475,0.0,0.51,1.0,0.0,7.796,1,1779002485
BTCUSDT,crypto,1763856000,54.96,23.73,0.687,86807.7,2.501,0.0,0.746,1.0,0.0,4.654,1,1779002485
BTCUSDT,crypto,1763942400,57.26,25.72,0.716,88247.1,1.658,0.0,1.145,1.0,0.0,2.853,0,1779002485
BTCUSDT,crypto,1764028800,48.68,24.14,0.609,87324.1,-1.046,0.0,0.827,1.0,0.0,3.431,1,1779002485
BTCUSDT,crypto,1764115200,57.64,23.59,0.721,90438.1,3.566,0.0,0.884,0.958,0.0,-4.64,-1,1779002485
BTCUSDT,crypto,1764201600,47.48,19.95,0.594,91292.2,0.944,0.0,0.629,0.84,0.0,-0.047,0,1779002485
BTCUSDT,crypto,1764288000,45.16,19.51,0.564,90847.8,-0.487,0.0,0.825,0.769,0.0,2.784,0,1779002485
BTCUSDT,crypto,1764374400,38.63,14.82,0.483,90765.0,-0.091,0.0,0.298,0.667,0.0,1.399,0,1779002485
BTCUSDT,crypto,1764460800,36.62,13.27,0.458,90320.6,-0.49,0.0,0.367,0.571,0.0,-1.143,0,1779002485
BTCUSDT,crypto,1764547200,39.17,17.33,0.49,86241.6,-4.516,0.0,1.674,0.448,0.0,3.427,1,1779002485
BTCUSDT,crypto,1764633600,53.74,13.48,0.672,91249.1,5.806,0.0,1.229,0.367,0.0,-0.99,0,1779002485
BTCUSDT,crypto,1764720000,41.63,9.17,0.52,93376.7,2.332,0.0,1.06,0.194,0.0,-2.962,0,1779002485
BTCUSDT,crypto,1764806400,30.01,6.48,0.375,92034.7,-1.437,0.0,0.78,0.129,0.0,0.656,0,1779002485
BTCUSDT,crypto,1764892800,27.71,6.23,0.346,89288.5,-2.984,0.0,0.989,0.065,0.0,3.012,1,1779002485
BTCUSDT,crypto,1764979200,26.0,2.18,0.325,89197.1,-0.102,0.0,0.306,0.032,0.0,3.678,1,1779002485
BTCUSDT,crypto,1765065600,32.85,4.21,0.411,90345.4,1.287,0.0,0.713,0.032,0.0,-0.128,0,1779002485
BTCUSDT,crypto,1765152000,32.3,4.93,0.404,90610.8,0.294,0.0,0.857,0.032,0.0,-0.463,0,1779002485
BTCUSDT,crypto,1765238400,38.73,6.52,0.484,92638.4,2.238,0.0,1.046,0.065,0.0,-4.879,-1,1779002485
BTCUSDT,crypto,1765324800,31.71,5.96,0.396,91977.5,-0.713,0.0,0.935,0.065,0.0,-6.075,-1,1779002485
BTCUSDT,crypto,1765411200,35.76,6.41,0.447,92477.5,0.544,0.0,1.152,0.032,0.0,-5.03,-1,1779002485
BTCUSDT,crypto,1765497600,27.76,5.38,0.347,90229.6,-2.431,0.0,0.947,0.032,0.0,-4.464,-1,1779002485
BTCUSDT,crypto,1765584000,25.39,1.81,0.317,90191.3,-0.042,0.0,0.233,0.032,0.0,-5.235,-1,1779002485
BTCUSDT,crypto,1765670400,25.32,4.35,0.317,88118.8,-2.298,0.0,0.613,0.065,0.0,-0.021,0,1779002485
BTCUSDT,crypto,1765756800,33.96,8.66,0.425,86389.9,-1.962,0.0,1.345,0.097,0.0,2.235,0,1779002485
BTCUSDT,crypto,1765843200,38.75,8.08,0.484,87826.3,1.663,0.0,0.97,0.161,0.0,0.905,0,1779002485
BTCUSDT,crypto,1765929600,36.99,11.03,0.462,86201.6,-1.85,0.0,1.431,0.194,0.0,2.761,0,1779002485
BTCUSDT,crypto,1766016000,41.22,12.79,0.515,85469.7,-0.849,0.0,1.525,0.258,0.0,2.332,0,1779002485
BTCUSDT,crypto,1766102400,45.99,11.57,0.575,88100.0,3.077,0.0,1.153,0.29,0.0,-0.537,0,1779002485
BTCUSDT,crypto,1766188800,31.69,7.57,0.396,88320.8,0.251,0.0,0.224,0.323,0.0,-1.288,0,1779002485
BTCUSDT,crypto,1766275200,31.94,6.64,0.399,88621.3,0.34,0.0,0.424,0.226,0.0,-1.47,0,1779002485
BTCUSDT,crypto,1766361600,37.39,9.75,0.467,88581.5,-0.045,0.0,1.046,0.226,0.0,-0.849,0,1779002485
BTCUSDT,crypto,1766448000,33.11,8.51,0.414,87463.0,-1.263,0.0,0.927,0.194,0.0,0.523,0,1779002485
BTCUSDT,crypto,1766534400,32.54,6.77,0.407,87627.3,0.188,0.0,0.579,0.194,0.0,-0.484,0,1779002485
BTCUSDT,crypto,1766620800,30.2,6.62,0.378,87182.8,-0.507,0.0,0.42,0.226,0.0,1.46,0,1779002485
BTCUSDT,crypto,1766707200,39.38,10.86,0.492,87318.2,0.155,0.0,1.141,0.258,0.0,0.332,0,1779002485
BTCUSDT,crypto,1766793600,30.84,6.16,0.385,87829.4,0.585,0.0,0.2,0.258,0.0,1.105,0,1779002485
BTCUSDT,crypto,1766880000,30.07,5.94,0.376,87920.5,0.104,0.0,0.285,0.226,0.0,2.31,0,1779002485
BTCUSDT,crypto,1766966400,37.97,9.52,0.475,87203.3,-0.816,0.0,1.517,0.097,0.0,3.89,1,1779002485
BTCUSDT,crypto,1767052800,36.1,5.69,0.451,88455.3,1.436,0.0,1.008,0.032,0.0,3.439,1,1779002485
BTCUSDT,crypto,1767139200,29.03,4.55,0.363,87608.2,-0.958,0.0,0.78,0.032,0.0,7.093,1,1779002485
BTCUSDT,crypto,1767225600,29.89,2.65,0.374,88800.0,1.36,0.0,0.402,0.032,0.0,5.527,1,1779002485
BTCUSDT,crypto,1767312000,41.18,8.36,0.515,89951.4,1.297,0.0,1.544,0.032,0.0,1.53,0,1779002485
BTCUSDT,crypto,1767398400,31.2,4.92,0.39,90595.8,0.716,0.0,0.468,0.129,0.0,0.512,0,1779002485
BTCUSDT,crypto,1767484800,33.88,6.31,0.423,91497.1,0.995,0.0,0.616,0.161,0.0,-0.977,0,1779002485
BTCUSDT,crypto,1767571200,51.34,15.43,0.642,93822.4,2.541,0.0,1.666,0.355,0.0,-3.574,-1,1779002485
BTCUSDT,crypto,1767657600,51.96,21.63,0.649,93708.0,-0.122,0.0,1.615,0.677,0.0,-2.928,0,1779002485
BTCUSDT,crypto,1767744000,41.35,17.45,0.517,91328.0,-2.54,0.0,1.296,0.548,0.0,-0.083,0,1779002485
BTCUSDT,crypto,1767830400,50.0,20.5,0.625,91059.8,-0.294,0.0,1.519,0.645,0.0,4.739,1,1779002485
BTCUSDT,crypto,1767916800,47.76,19.9,0.597,90603.6,-0.501,0.0,1.271,0.677,0.0,6.958,1,1779002485
BTCUSDT,crypto,1768003200,39.23,15.93,0.49,90469.6,-0.148,0.0,0.218,0.742,0.0,5.635,1,1779002485
BTCUSDT,crypto,1768089600,42.91,17.4,0.536,90964.4,0.547,0.0,0.383,0.774,0.0,4.99,1,1779002485
BTCUSDT,crypto,1768176000,50.42,19.45,0.63,91252.6,0.317,0.0,1.567,0.581,0.0,4.225,1,1779002485
BTCUSDT,crypto,1768262400,68.51,27.84,0.856,95375.2,4.518,0.0,1.827,0.935,0.0,-1.847,0,1779002485
BTCUSDT,crypto,1768348800,61.44,27.87,0.768,96907.9,1.607,0.0,1.573,1.0,0.0,-4.456,-1,1779002485
BTCUSDT,crypto,1768435200,51.97,26.12,0.65,95567.3,-1.383,0.0,1.224,1.0,0.0,-7.51,-1,1779002485
BTCUSDT,crypto,1768521600,50.67,24.15,0.633,95503.7,-0.067,0.0,0.83,1.0,0.0,-6.379,-1,1779002485
BTCUSDT,crypto,1768608000,44.13,20.91,0.552,95107.9,-0.414,0.0,0.31,0.968,0.0,-5.877,-1,1779002485
BTCUSDT,crypto,1768694400,41.76,19.91,0.522,93614.0,-1.571,0.0,0.498,0.871,0.0,-4.332,-1,1779002485
BTCUSDT,crypto,1768780800,46.16,21.31,0.577,92589.6,-1.094,0.0,0.907,0.839,0.0,-3.682,-1,1779002485
BTCUSDT,crypto,1768867200,45.45,24.07,0.568,88390.6,-4.535,0.0,1.589,0.806,0.0,-1.993,0,1779002485
